Date,Ticker,stock_p_change,SP500_p_change,model,outperformance,predicted_outperformance_probability
2012-05-22 07:39:36,usb,16.85,28.31,extra_trees,-11.459999999999997,0.5298230143252153
2012-05-30 04:19:20,mrk,30.92,28.66,extra_trees,2.2600000000000016,0.5880816222426367
2012-06-10 06:27:18,phm,129.84,26.57,extra_trees,103.27000000000001,0.592024604276218
2012-06-10 08:21:25,anf,61.73,26.57,extra_trees,35.16,0.54385257839525
2012-06-10 08:23:11,hov,176.39,26.57,extra_trees,149.82,0.6467934045807366
2012-06-10 08:23:21,dhi,46.12,26.57,extra_trees,19.549999999999997,0.5559365610420283
2012-06-10 10:03:27,urbn,52.93,26.57,extra_trees,26.36,0.5320139758196853
2012-06-16 02:22:44,ma,37.98,23.71,extra_trees,14.269999999999996,0.7394257511546467
2012-06-20 09:37:20,s,125.88,19.65,extra_trees,106.22999999999999,0.7046317528205696
2012-06-20 10:04:58,low,41.85,19.65,extra_trees,22.200000000000003,0.5152344295252751
2012-06-20 10:12:22,wmt,9.1,19.65,extra_trees,-10.549999999999999,0.6338575685048258
2012-06-22 21:56:07,jpm,48.58,21.85,extra_trees,26.729999999999997,0.5612081850053002
2012-06-24 01:52:49,nok,59.66,20.31,extra_trees,39.349999999999994,0.5284622590196857
2012-06-27 02:46:17,jnpr,22.27,23.66,extra_trees,-1.3900000000000006,0.5484522413696803
2012-06-29 09:46:31,pfe,26.14,20.5,extra_trees,5.640000000000001,0.6360400608514697
2012-06-30 15:50:01,bax,37.26,20.5,extra_trees,16.759999999999998,0.5039042300398963
2012-07-01 05:19:14,bac,58.69,21.21,extra_trees,37.48,0.6608069569065786
2012-07-01 18:29:24,akam,35.34,21.21,extra_trees,14.130000000000003,0.5744431734487379
2012-07-01 20:48:59,aig,40.51,21.21,extra_trees,19.299999999999997,0.5229592324171561
2012-07-01 20:48:59,stz,96.42,21.21,extra_trees,75.21000000000001,0.5181768946464185
2012-07-02 17:33:35,thc,120.6,20.73,extra_trees,99.86999999999999,0.5422513152843097
2012-07-03 06:05:07,dsw,43.64,19.99,extra_trees,23.650000000000002,0.6964072830394058
2012-07-05 00:21:25,stx,90.34,21.84,extra_trees,68.5,0.557960796818796
2012-07-13 03:20:27,znga,-28.57,26.15,extra_trees,-54.72,0.5341836633865276
2012-07-13 10:02:58,aig,48.66,26.15,extra_trees,22.509999999999998,0.5195468595318442
2012-07-13 18:44:17,fslr,236.27,26.15,extra_trees,210.12,0.5341346277244863
2012-07-14 03:36:27,bac,76.9,26.15,extra_trees,50.75000000000001,0.6587319191297129
2012-07-14 05:17:04,gci,94.59,26.15,extra_trees,68.44,0.6246069788128131
2012-07-15 07:47:21,siri,81.82,26.64,extra_trees,55.17999999999999,0.7325027711669928
2012-07-16 18:22:38,goog,59.95,26.46,extra_trees,33.49,0.6147676033089637
2012-07-17 03:10:14,afl,39.21,25.92,extra_trees,13.29,0.5464792631267739
2012-07-17 13:58:10,cbs,66.6,25.92,extra_trees,40.67999999999999,0.5032052277661363
2012-07-22 03:08:59,jci,40.34,26.98,extra_trees,13.360000000000003,0.5208754508420292
2012-07-23 08:11:34,low,78.1,28.0,extra_trees,50.099999999999994,0.5243439694035102
2012-07-23 13:13:10,ges,25.2,28.0,extra_trees,-2.8000000000000007,0.5184834399003108
2012-07-23 18:32:30,aeo,2.12,28.0,extra_trees,-25.88,0.5595277881949722
2012-07-24 00:16:31,rsh,48.49,28.64,extra_trees,19.85,0.5307300629599505
2012-07-25 23:36:59,p,100.64,28.92,extra_trees,71.72,0.5802354228900451
2012-07-26 00:41:15,jpm,60.92,26.97,extra_trees,33.95,0.5598497325917934
2012-07-27 04:31:55,mpc,56.33,24.67,extra_trees,31.659999999999997,0.5870969326247837
2012-07-28 11:38:00,avp,46.64,24.67,extra_trees,21.97,0.5405073768031895
2012-07-28 11:44:22,mrk,11.65,24.67,extra_trees,-13.020000000000001,0.5093514688102309
2012-07-28 14:38:10,gnw,161.74,24.67,extra_trees,137.07,0.5171359715115268
2012-07-28 23:50:43,mchp,24.41,24.67,extra_trees,-0.26000000000000156,0.5451700051062995
2012-08-18 06:28:42,ma,49.83,19.24,extra_trees,30.59,0.7235104876552186
2012-08-19 04:16:01,rdc,-2.28,18.48,extra_trees,-20.76,0.5393565450917203
2012-08-21 00:53:18,s,37.01,18.68,extra_trees,18.33,0.6740563709303742
2012-08-22 14:38:22,lnc,89.25,19.71,extra_trees,69.53999999999999,0.5173644255591416
2012-08-29 02:32:56,urbn,12.5,18.61,extra_trees,-6.109999999999999,0.5180860737862214
2012-08-31 00:07:24,bac,77.41,18.52,extra_trees,58.89,0.5893251431039436
2012-09-01 13:32:36,low,63.73,18.52,extra_trees,45.209999999999994,0.5223343496019218
2012-09-04 07:05:00,ma,51.95,20.16,extra_trees,31.790000000000003,0.7404497623041765
2012-09-09 13:12:20,jnpr,11.54,18.74,extra_trees,-7.199999999999999,0.5223499084053846
2012-09-11 09:44:18,stx,40.69,20.34,extra_trees,20.349999999999998,0.5261746043453761
2012-09-11 10:40:30,fslr,81.65,20.34,extra_trees,61.31,0.5624178453152529
2012-09-18 09:52:13,nflx,447.48,20.66,extra_trees,426.82,0.5436058672384612
2012-09-20 12:57:29,wfc,25.22,19.55,extra_trees,5.669999999999998,0.5698657718472075
2012-09-21 08:18:43,ges,23.84,19.6,extra_trees,4.239999999999998,0.5353768379142222
2012-09-21 15:21:31,ges,23.84,19.6,extra_trees,4.239999999999998,0.5353768379142222
2012-09-23 14:04:56,ges,23.03,19.04,extra_trees,3.990000000000002,0.5389991656720232
2012-09-23 15:49:47,low,59.34,19.04,extra_trees,40.300000000000004,0.5106367522001095
2012-09-23 15:53:29,aapl,-17.11,19.04,extra_trees,-36.15,0.7124883451108046
2012-09-29 04:29:12,mrk,9.99,19.89,extra_trees,-9.9,0.5111154188992185
2012-10-01 10:48:37,ges,27.29,19.88,extra_trees,7.41,0.5432596483767029
2012-10-05 15:10:26,ipg,51.37,18.1,extra_trees,33.269999999999996,0.5723503960410011
2012-10-10 18:42:47,fhn,16.92,20.65,extra_trees,-3.729999999999997,0.5881833746125631
2012-10-11 10:08:06,ges,27.92,21.36,extra_trees,6.560000000000002,0.5734597315256708
2012-10-11 19:13:31,low,61.4,21.36,extra_trees,40.04,0.5068863918562163
2012-10-11 20:20:07,aapl,-7.2,21.36,extra_trees,-28.56,0.7447339165513779
